1,1000,14003440
1,1000,14604028
1,1000,15053213
1,1500,49537058
1,1500,47024384
1,1500,49636491
1,2000,117478653
1,2000,113374916
1,2000,113610266
2,1000,7856737
2,1000,7567183
2,1000,7300848
2,1500,25028192
2,1500,22685145
2,1500,25135135
2,2000,55603212
2,2000,57406867
2,2000,59625972
3,1000,5900679
3,1000,6429530
3,1000,6196443
3,1500,20724111
3,1500,18355086
3,1500,19009813
3,2000,46202243
3,2000,41510288
3,2000,42145470
4,1000,4980485
4,1000,4772245
4,1000,4904044
4,1500,15480909
4,1500,15729987
4,1500,15474177
4,2000,36652708
4,2000,36121640
4,2000,35599093
5,1000,4300722
5,1000,4186174
5,1000,4274147
5,1500,13604470
5,1500,13925080
5,1500,13809369
5,2000,30782655
5,2000,33786547
5,2000,32637824
6,1000,3959275
6,1000,3789320
6,1000,3747591
6,1500,12489516
6,1500,12452675
6,1500,12493226
6,2000,28212618
6,2000,30238436
6,2000,30121331
7,1000,3414079
7,1000,3384479
7,1000,3459951
7,1500,11586414
7,1500,11409400
7,1500,11354084
7,2000,26631402
7,2000,26323599
7,2000,26517821
8,1000,3323180
8,1000,3527926
8,1000,2930998
8,1500,9697589
8,1500,9626151
8,1500,9750624
8,2000,22221279
8,2000,22403861
8,2000,22413431
9,1000,2905403
9,1000,2759877
9,1000,2776340
9,1500,9076696
9,1500,9036940
9,1500,9177498
9,2000,23906939
9,2000,21739549
9,2000,23328893
10,1000,3253393
10,1000,2976070
10,1000,2905366
10,1500,9496687
10,1500,9539052
10,1500,10114689
10,2000,22149034
10,2000,22529203
10,2000,22479416
11,1000,3106358
11,1000,2894882
11,1000,2985505
11,1500,10171841
11,1500,9657307
11,1500,9701595
11,2000,22171346
11,2000,23278878
11,2000,24229321
12,1000,3252682
12,1000,3225148
12,1000,3033807
12,1500,9697763
12,1500,10214629
12,1500,8977417
12,2000,19347145
12,2000,20431851
12,2000,19288455
